concept	group	property	object
cm:AEAttCat1	0	sn:SN_116680003	cm:AEAttendanceCat
cm:AEAttCat2	0	sn:SN_116680003	cm:AEAttendanceCat
cm:AEAttCat3	0	sn:SN_116680003	cm:AEAttendanceCat
cm:AEAttNotAtt0	0	sn:SN_116680003	cm:CareAdministration
cm:AEAttendanceCat	0	sn:SN_116680003	cm:CareAdministration
cm:AEDepType1	0	sn:SN_116680003	cm:AccidentAndEmergencySetting
cm:AEDepType2	0	sn:SN_116680003	cm:AccidentAndEmergencySetting
cm:AEDepType3	0	sn:SN_116680003	cm:AccidentAndEmergencySetting
cm:AEDepType4	0	sn:SN_116680003	cm:oohwuc
cm:AandEAttendance	0	cm:care_setting	cm:AccidentAndEmergencySetting
cm:AandEAttendance	0	sn:SN_116680003	cm:HospitalEncounter
cm:AccidentAndEmergencySetting	0	sn:SN_116680003	cm:Hospital
cm:ActiveInactive	0	sn:SN_116680003	cm:ModelComponentStatus
cm:ActiveStatus	0	sn:SN_116680003	cm:ActiveInactive
cm:AdmBabyRelated	0	sn:SN_116680003	cm:AdmissionMethod
cm:AdmClassDayCase	0	sn:SN_116680003	cm:AdmissionPatientClass
cm:AdmClassMotherBabyDelivery	0	sn:SN_116680003	cm:AdmissionPatientClass
cm:AdmClassOrdinary	0	sn:SN_116680003	cm:AdmissionPatientClass
cm:AdmClassRegularDay	0	sn:SN_116680003	cm:AdmissionPatientClass
cm:AdmClassRegularNight	0	sn:SN_116680003	cm:AdmissionPatientClass
cm:AdmMetBBhok	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetBedBureau	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetBirthHere	0	sn:SN_116680003	cm:AdmBabyRelated
cm:AdmMetBirthOut	0	sn:SN_116680003	cm:AdmBabyRelated
cm:AdmMetBooked	0	sn:SN_116680003	cm:AdmMetElective
cm:AdmMetCasElsewhere	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetCasSame	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetConClin	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetEMore	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetElective	0	sn:SN_116680003	cm:AdmissionMethod
cm:AdmMetEmergency	0	sn:SN_116680003	cm:AdmissionMethod
cm:AdmMetGpDirect	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetHosTran	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetMatAP	0	sn:SN_116680003	cm:AdmMetMaternity
cm:AdmMetMatPP	0	sn:SN_116680003	cm:AdmMetMaternity
cm:AdmMetMaternity	0	sn:SN_116680003	cm:AdmissionMethod
cm:AdmMetMheCrisis	0	sn:SN_116680003	cm:AdmMetEmergency
cm:AdmMetPlanned	0	sn:SN_116680003	cm:AdmMetElective
cm:AdmMethWa	0	sn:SN_116680003	cm:AdmMetElective
cm:AdmNonETransfer	0	sn:SN_116680003	cm:AdmissionMethod
cm:AdminCat01	0	sn:SN_116680003	cm:AdminCategory
cm:AdminCat02	0	sn:SN_116680003	cm:AdminCategory
cm:AdminCat03	0	sn:SN_116680003	cm:AdminCategory
cm:AdminCat04	0	sn:SN_116680003	cm:AdminCategory
cm:AdminCategory	0	sn:SN_116680003	cm:CareAdministration
cm:AdministrationFiling	0	sn:SN_116680003	cm:CareAdministration
cm:AdministrativeEntry	0	cm:hasActivityType	cm:AdministrationFiling
cm:AdministrativeEntry	0	sn:SN_116680003	cm:EncounterType
cm:Admission	0	sn:SN_116680003	cm:CareAdministration
cm:AdmissionMethod	0	sn:SN_116680003	cm:CareAdministration
cm:AdmissionPatientClass	0	sn:SN_116680003	cm:CareAdministration
cm:AdmissionSource	0	sn:SN_116680003	cm:CareAdministration
cm:AdultCriticalCareEncounter	0	cm:care_setting	cm:CcufAdult
cm:AdultCriticalCareEncounter	0	sn:SN_116680003	cm:CriticalCareEncounter
cm:AttNotAtt00	0	sn:SN_116680003	cm:AttNotAttNot
cm:AttNotAtt2	0	sn:SN_116680003	cm:AttNotAttNot
cm:AttNotAtt5	0	sn:SN_116680003	cm:AttNotAttAtt
cm:AttNotAtt6	0	sn:SN_116680003	cm:AttNotAttAtt
cm:AttNotAtt7	0	sn:SN_116680003	cm:AttNotAttNot
cm:AttNotAttAtt	0	sn:SN_116680003	cm:AEAttNotAtt0
cm:AttNotAttNot	0	sn:SN_116680003	cm:AEAttNotAtt0
cm:AttOpd1	0	sn:SN_116680003	cm:AttOutcome0
cm:AttOpd2	0	sn:SN_116680003	cm:AttOutcome0
cm:AttOpd3	0	sn:SN_116680003	cm:AttOutcome0
cm:AttOutcome0	0	sn:SN_116680003	cm:CareAdministration
cm:AttnotAtt3	0	sn:SN_116680003	cm:DidNotAttend
cm:AttnotAtt4	0	sn:SN_116680003	cm:AttNotAttNot
cm:CancelHospEvent	0	sn:SN_116680003	cm:CancelledEncounter
cm:CancelledEncounter	0	sn:SN_116680003	cm:EncounterType
cm:CareAdministration	0	sn:SN_116680003	cm:ValueSet
cm:CareEventType	0	sn:SN_116680003	cm:Concept
cm:CareSetting	0	sn:SN_116680003	cm:ValueSet
cm:CcuOther91	0	sn:SN_116680003	cm:CriticalCareUnit
cm:CcufAdult	0	sn:SN_116680003	cm:CriticalCareUnit
cm:CcufAdult1	0	sn:SN_116680003	cm:CcufAdult
cm:CcufAdult10	0	sn:SN_116680003	cm:CcufAdult
cm:CcufAdult11	0	sn:SN_116680003	cm:CcufAdult
cm:CcufAdult2	0	sn:SN_116680003	cm:CcufAdult
cm:CcufAdult3	0	sn:SN_116680003	cm:CcufAdult
cm:CcufAdult5	0	sn:SN_116680003	cm:CcufAdult
cm:CcufAdult8	0	sn:SN_116680003	cm:CcufAdult
