iri	name	status	description
cm:AEAttCat1	First Accident and Emergency Attendance  in episode	cm:CoreActive	First Accident and Emergency Attendance - the first in a series, or the only attendance, in a particular Accident and Emergency Episode CDS 1
cm:AEAttCat2	Subsequent planned A&E attendance at same department, and incident	cm:CoreActive	Follow-up Accident and Emergency Attendance - planned: a subsequent planned atte
cm:AEAttCat3	Subsequent unplanned A&E attendance at the same department and incident	cm:CoreActive	Follow-up Accident and Emergency Attendance - unplanned: a subsequent unplanned 
cm:AEAttNotAtt0	Attended or not attended	cm:CoreActive	An indication of whether an APPOINTMENT for a CARE CONTACT took place.
cm:AEAttendanceCat	Accident and emergency attendance or follow up	cm:CoreActive	Indicates whether the A&E attendance is first or a follow up
cm:AEDepType1	Consultant led A&E department with full facilities (department type)	cm:CoreActive	Emergency departments are a CONSULTANT led 24 hour service with full resuscitati
cm:AEDepType2	Mono speciality A&E (department type)	cm:CoreActive	Consultant led mono specialty accident and emergency service (e.g. ophthalmology
cm:AEDepType3	Minor injuries unit either Doctor or Nurse led (department type)	cm:CoreActive	Other type of A&E/minor injury ACTIVITY with designated accommodation for the re
cm:AEDepType4	NHS Walk in centre	cm:CoreActive	NHS walk in centres CDS 4
cm:AandEAttendance	Accident and emergency encounter	cm:CoreActive	An encounter that takes place in accident and emergency
cm:AccidentAndEmergencySetting	Accident and emergency (setting)	cm:CoreActive	An A&E department or equivalent setting
cm:ActiveInactive	Active or Inactive status	cm:CoreActive	A status that is in active or active
cm:ActiveStatus	Active status	cm:CoreActive	The active-inactive status value is active
cm:AdmBabyRelated	Baby related admission (admission method)	cm:CoreActive	Admission method relating to the admission of the baby i.e. the baby is the subject of the admission
cm:AdmClassDayCase	Day case admission	cm:CoreActive	A PATIENT admitted electively during the course of a day with the intention of r
cm:AdmClassMotherBabyDelivery	Mother and baby using delivery facilities only	cm:CoreActive	Mother and baby using Delivery facilities only and not using a Hospital Bed in the Antenatal or Postnatal WARDS during the stay in hospital
cm:AdmClassOrdinary	Ordinary non elective admission	cm:CoreActive	A PATIENT not admitted electively, and any PATIENT admitted electively with the 
cm:AdmClassRegularDay	Regular elective day admission	cm:CoreActive	A PATIENT admitted electively during the day, as part of a planned series of reg
cm:AdmClassRegularNight	Regular elective night admission	cm:CoreActive	A PATIENT admitted electively for the night, as part of a planned series of regu
cm:AdmMetBBhok	Emergency admission after baby born at home as intended	cm:CoreActive	Emergency admssion after Baby born at home as intended CDS type 2C
cm:AdmMetBedBureau	Emergency admission via bed bureau	cm:CoreActive	after a request for immediate admission has been made direct to a Hospital Provider from a bed bureau - CDS type 23
cm:AdmMetBirthHere	Birth of a baby in this Health Care Provider	cm:CoreActive	Birth of a baby in this Health Care Provider CDS type 82
cm:AdmMetBirthOut	Baby born outside the Health Care Provider except when born at home as intended	cm:CoreActive	Baby born outside the Health Care Provider except when born at home as intended type 83
cm:AdmMetBooked	Booked admission (admssion method)	cm:CoreActive	Elective booked admission CDS type 12
cm:AdmMetCasElsewhere	Emergency admission from A&E  from another provider	cm:CoreActive	Emergency admission from Accident and Emergency Department of another provider where the PATIENT had not been admitted CDS type 2A
cm:AdmMetCasSame	Emergency admission from same trust	cm:CoreActive	
cm:AdmMetConClin	Emergency admission from consultant clinic	cm:CoreActive	Emergency admission from Consultant Clinic, of this or another Health Care Provider - CDS type 24
cm:AdmMetEMore	Emergency admission via other or none specific means	cm:CoreActive	Emergencey admission - Other emergency admission CDS type 2D replacing  CDS type 28 also
cm:AdmMetElective	Elective admission method	cm:CoreActive	The method of admission is elective
cm:AdmMetEmergency	Emergency admission (admission method)	cm:CoreActive	Emergency Admission, when admission is unpredictable and at short notice because of clinical need
cm:AdmMetGpDirect	Emergency admission direct from GP	cm:CoreActive	Emergency admission via GENERAL PRACTITIONER: after a request for immediate admi
cm:AdmMetHosTran	Emergency admission - transfer of admitted patient from another hospital	cm:CoreActive	Emergency admission - Transfer of an admitted PATIENT from another Hospital Provider in an emergency - CDS type 2B
cm:AdmMetMatAP	Maternity admission ante partum	cm:CoreActive	Maternit admission antepartum CDS type 31
cm:AdmMetMatPP	Maternity admission post partum	cm:CoreActive	Maternity admission post partum CDS type 32
cm:AdmMetMaternity	Maternity Admission, of a pregnant or recently pregnant woman	cm:CoreActive	Maternity Admission, of a pregnant or recently pregnant woman to a maternity WAR
cm:AdmMetMheCrisis	Emergency admission via mental health crisis resolution team	cm:CoreActive	Admission via Mental Health Crisis Resolution Team CDS type 25
cm:AdmMetPlanned	Planned admission (admission method)	cm:CoreActive	Planned admission - CDS type 13
cm:AdmMethWa	Waiting list (admission method)	cm:CoreActive	Method of actual admission was electively from the waiting list CDS type 11
