prefix	iri
:	http://www.DiscoveryDataService.org/InformationModel/DiscoveryOntology#
cm:	http://www.DiscoveryDataService.org/InformationModel/DiscoveryCore#
rm:	http://www.DiscoveryDataService.org/InformationModel/RecordModel#
sn:	http://www.DiscoveryDataService.org/InformationModel/Snomed-CT#
arc:	http://www.DiscoveryDataService.org/InformationModel/Archetype#
owl:	http://www.w3.org/2002/07/owl#
rdf:	http://www.w3.org/1999/02/22-rdf-syntax-ns#
xml:	http://www.w3.org/XML/1998/namespace
xsd:	http://www.w3.org/2001/XMLSchema#
rdfs:	http://www.w3.org/2000/01/rdf-schema#
