iri	name	status	description
sn:SN_116680003	Is a (attribute)	cm:CoreActive	Is a (attribute)
sn:SN_224930009	Services (qualifier value)	cm:CoreActive	Services (qualifier value)
sn:SN_2546009	Night time (qualifier value)	cm:CoreActive	Night time (qualifier value)
sn:SN_257194007	Video (physical object)	cm:CoreActive	Video (physical object)
sn:SN_260870009	Priority (attribute)	cm:CoreActive	Priority (attribute)
sn:SN_308913005	Services, facilities and utilities (qualifier value)	cm:CoreActive	Services, facilities and utilities (qualifier value)
sn:SN_325931000000109	Assessment encounter type (record artifact)	cm:CoreActive	Assessment encounter type (record artifact)
sn:SN_359993007	Telephone (physical object)	cm:CoreActive	Telephone (physical object)
sn:SN_370134009	Time aspect (attribute)	cm:CoreActive	Time aspect (attribute)
sn:SN_424226004	Using device (attribute)	cm:CoreActive	Using device (attribute)
sn:SN_721421000000101	Email (qualifier value)	cm:CoreActive	Email (qualifier value)
sn:SN_999002981000000107	Emergency care arrival mode simple reference set (foundation metadata concept)	cm:CoreActive	Emergency care arrival mode simple reference set (foundation metadata concept)
sn:SN_999002991000000109	Emergency care attendance source simple reference set (foundation metadata concept)	cm:CoreActive	Emergency care attendance source simple reference set (foundation metadata concept)
